2026-03-10 22:31:52 status half-configured libgssapi-krb5-2:amd64 1.21.3-5
2026-03-10 22:31:52 status installed libgssapi-krb5-2:amd64 1.21.3-5
2026-03-10 22:31:52 configure libreadline8t64:amd64 8.2-6 <none>
2026-03-10 22:31:52 status unpacked libreadline8t64:amd64 8.2-6
2026-03-10 22:31:52 status half-configured libreadline8t64:amd64 8.2-6
2026-03-10 22:31:52 status installed libreadline8t64:amd64 8.2-6
2026-03-10 22:31:52 configure libgnutls30t64:amd64 3.8.9-3+deb13u2 <none>
2026-03-10 22:31:52 status unpacked libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-10 22:31:52 status half-configured libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-10 22:31:52 status installed libgnutls30t64:amd64 3.8.9-3+deb13u2
2026-03-10 22:31:52 configure libpsl5t64:amd64 0.21.2-1.1+b1 <none>
2026-03-10 22:31:52 status unpacked libpsl5t64:amd64 0.21.2-1.1+b1
2026-03-10 22:31:52 status half-configured libpsl5t64:amd64 0.21.2-1.1+b1
2026-03-10 22:31:52 status installed libpsl5t64:amd64 0.21.2-1.1+b1
2026-03-10 22:31:52 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5 <none>
2026-03-10 22:31:52 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:52 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:52 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2026-03-10 22:31:52 configure libngtcp2-crypto-gnutls8:amd64 1.11.0-1 <none>
2026-03-10 22:31:52 status unpacked libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-03-10 22:31:52 status half-configured libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-03-10 22:31:52 status installed libngtcp2-crypto-gnutls8:amd64 1.11.0-1
2026-03-10 22:31:52 configure libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2 <none>
2026-03-10 22:31:52 status unpacked libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:52 status half-configured libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:52 status installed libcurl3t64-gnutls:amd64 8.14.1-2+deb13u2
2026-03-10 22:31:53 configure gnupg1:amd64 1.4.23-3 <none>
